agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 9,"Postmaster-General's Department, Central Administration",Department of State,Victoria,1901-01-01,1975-12-22,1947-03-14,1975-12-22
CA 124,"Australian Broadcasting Control Board, Head Office",Head Office,Victoria,1949-03-15,1977-01-01,1949-03-15,1977-01-01
CA 251,"Australian Broadcasting Commission, Head Office",Head Office,New South Wales,1932-05-17,1983-07-01,1932-05-17,1983-06-30
CA 709,Parliamentary Standing Committee on Broadcasting,Head Office,Australian Capital Territory,1942-09-03,1950-12-31,1942-09-03,1950-12-31
CA 710,Joint Parliamentary Committee on Broadcasting,Head Office,Australian Capital Territory,1941-07-03,1942-03-05,1941-07-03,1942-03-05
CA 734,Royal Commission on Wireless,Head Office,Victoria,1927-01-28,1927-07-14,1927-01-28,1927-07-14
CA 744,"Australian Broadcasting Commission, Radio Australia",Regional or State Office,Victoria,,,1939-12-05,
CA 1526,"Australian Broadcasting Commission, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,1969-06-07,1983-06-30,1969-06-07,1983-06-30
CA 1586,"Australian Broadcasting Commission, Tasmanian Branch",Regional or State Office,Tasmania,1932-07-01,1983-06-30,1932-07-01,1983-06-30
CA 1587,"Australian Broadcasting Control Board, State Organisation, Tasmania",Regional or State Office,Tasmania,1961-01-03,1977-01-01,1961-01-03,1977-01-01
CA 1616,Interim Council for A National Film and Television Training School/ (by 1973) Australian Film and Television School Interim Council,Regional or State Office,New South Wales,1969-01-01,1973-12-31,1969-01-01,1973-12-31
CA 1617,Film and Television School,Regional or State Office,New South Wales,1973-08-31,1976-10-29,1973-08-31,1976-10-29
CA 1693,Senate Select Committee on the Encouragement of Australian Productions for Television,Head Office,Australian Capital Territory,1962-12-07,1963-10-29,1962-12-07,1963-10-29
CA 1863,"Australian Broadcasting Commission, Regional Office, Northern Territory",Regional or State Office,Northern Territory,1946-07-01,1983-06-30,1946-07-01,1983-06-30
CA 1928,Interim Board of the Australian Film Commission,Regional or State Office,New South Wales,1974-02-12,1975-05-05,1974-02-12,1975-05-05
CA 1929,Australian Film Commission,Head Office,New South Wales,1975-05-05,2008-07-01,1975-05-05,2008-07-01
CA 2056,"Australian Broadcasting Commission, Victorian Branch (also known as Australian Broadcasting Commission, Victorian Division, 1932-c.1940)",Regional or State Office,Victoria,1932-07-01,1983-07-01,1932-07-01,1983-06-30
CA 2116,"Australian Broadcasting Commission, Western Australia Branch",Regional or State Office,Western Australia,1932-01-01,1983-06-30,1932-01-01,1983-03-11
CA 2259,"Broadcasting Engineering Services Division, Postal and Telecommunications Department",Regional or State Office,Victoria,1977-01-01,,1977-01-01,1980-11-03
CA 2260,"Australian Broadcasting Authority, Head Office, Sydney",Head Office,New South Wales,1977-01-01,2005-07-01,1977-01-01,2005-07-01
CA 2332,"Radio Frequency Management Division, State Office, Victoria (from 1987) Radio Communications Operations Branch, Victoria",Regional or State Office,Victoria,1975-12-22,1993-06-30,1975-12-22,1993-07-01
CA 2333,"Radio Frequency Management Division, State Office, New South Wales (a) Postal and Telecommunications Department (to 1980) (b) Department of Communications",Regional or State Office,New South Wales,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2334,"Radio Frequency Management Division, State Office, Queensland (from 1987) Radio Communications Operations Branch",Regional or State Office,Queensland,1975-12-22,1993-07-01,1975-12-22,1993-07-01
CA 2335,"Radio Frequency Management Division, State Office, South Australia",Regional or State Office,South Australia,1975-12-22,,1975-12-22,1988-08-31
CA 2336,"Radio Frequency Management Division, State Office, Western Australia/ (by 1987) Transport and Communications, Communications Operation Branch, Perth, Western Australia",Regional or State Office,Western Australia,1975-12-22,1993-07-01,1975-12-22,1993-07-01
CA 2337,"Radio Frequency Management Division, State Office, Tasmania (a) Postal and Telecommunications Department (to 1980) (b) Department of Communications",Regional or State Office,Tasmania,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2460,Royal Commission on Allegations Affecting Members of the Parliamentary Joint Committee of Public Accounts in Connection With Claims Made by Broadcasting Companies Against the Commonwealth Government,Head Office,Australian Capital Territory,1930-05-15,1930-08-06,1930-05-15,1930-08-06
CA 2470,Radio Apprentice School,Local Office,Victoria,1950-01-01,1961-05-31,1950-01-01,1961-05-31
CA 2471,RAAF School of Radio,Local Office,Victoria,1945-11-01,,1945-11-01,2014
CA 2472,"Detachment A, Radio Apprentice School/ (by 1961) Detachment A, RAAF School of Radio",Local Office,Victoria,1960-12-01,1962-10-01,1960-12-01,1962-10-01
CA 2549,"Australian Broadcasting Corporation, North Queensland Regional Office, Townsville",Regional or State Office,Queensland,1937-01-01,,1939-01-01,
CA 2591,"Wireless Branch, Central Office, Postmaster-General's Department",Head Office,Victoria,1927-08-01,1954-12-31,1927-08-01,1954-12-31
CA 2634,Independent Inquiry into Frequency Modulation Broadcasting,Head Office,New South Wales,1973-11-27,1974-03-08,1973-11-27,1974-03-08
CA 2639,"Australian Broadcasting Commission, South Australian Branch (by 1933-by 1982) Northern Territory Branch",Regional or State Office,"Northern Territory, South Australia",1933-01-01,1983-06-30,1933-01-01,1983-06-30
CA 2641,Royal Commission on Television,Head Office,"Australian Capital Territory, New South Wales, Queensland, South Australia, Tasmania, Victoria, Western Australia",1953-02-11,1954-02-20,1953-02-11,1954-02-20
CA 2920,"Australian Broadcasting Commission, Queensland Branch",Regional or State Office,Queensland,1932-07-01,1983-06-30,1932-01-01,1983-06-30
CA 2922,Special Broadcasting Service (SBS),Head Office,New South Wales,1978-01-01,,1978-01-01,
CA 2948,Committee of Review of the Australian Broadcasting Commission,Head Office,New South Wales,1979-11-22,1981-05-29,1979-11-22,1981-05-29
