agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 7,"Department of External Affairs [I], Melbourne",Department of State,Victoria,1901-01-01,1916-11-14,1901-01-01,1916-11-14
CA 15,"Department of Home and Territories, Central Office",Department of State,Victoria,1916-11-14,1928-12-10,1916-11-14,1928-12-10
CA 24,"Department of Home Affairs [II], (Central Office)",Department of State,Australian Capital Territory,1928-12-10,1932-04-12,1928-12-10,1932-12-04
CA 27,"Department of the Interior [I], Central Administration",Department of State,Australian Capital Territory,1932-04-12,1939-04-26,1932-04-12,1939-04-26
CA 31,"Department of the Interior [II], Central Office",Department of State,Australian Capital Territory,1939-04-26,1972-12-19,1939-04-26,1947-03-12
CA 51,"Department of Immigration, Central Office",Department of State,Australian Capital Territory,1945-07-13,1974-06-12,1945-07-13,1974-06-12
CA 1042,"Department of Health, Northern Territory Divisional Office (also known as Northern Territory Medical Service)",Regional or State Office,Northern Territory,1939-04-01,1987-07-24,1953-01-01,1987-07-24
CA 1281,[South Australia] General Registry Office,Regional or State Office,South Australia,1841-01-01,,1841-01-01,1903-12-31
CA 1769,"Department of Labor and Immigration, Central Office",Department of State,Victoria,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 1902,National Council of Women of the Australian Capital Territory,Intergovernmental agency,Australian Capital Territory,1939-01-01,,1939-01-01,
CA 2680,[Northern Territory] Registration Offices,Head Office,Northern Territory,1978-07-01,,1978-07-01,
CA 2980,Good Neighbour Council of the Australian Capital Territory/ (from 1966) Good Neighbour Council of the Australian Capital Territory Incorporated,Regional or State Office,Australian Capital Territory,1950-03-22,1980-02-29,1950-03-22,1980-02-29
CA 3222,The National Board of the National Council of Women,Intergovernmental agency,Queensland,1939-01-01,,1939-01-01,
CA 3291,National Women's Advisory Council,Regional or State Office,Australian Capital Territory,1978-07-14,1984-06-30,1978-07-14,1984-06-30
CA 3491,Good Neighbour Council of Victoria,Regional or State Office,Victoria,,1979-06-30,1950-04-05,1979-06-30
CA 4700,"[Queensland] Registrar-General's Office, Brisbane",Regional or State Office,Queensland,1856-03-01,,1856-03-01,
CA 5596,Joint Select Committee on an Australia Card,,Australian Capital Territory,1985-11-04,1986-05-08,1985-11-04,1986-05-08
CA 7268,Good Neighbour Council of Western Australia,Local Office,Western Australia,1950-07-01,1979-12-31,1950-07-01,1979-12-31
CA 7662,"Department of Immigration and Ethnic Affairs [II], Central Office",Department of State,Australian Capital Territory,1993-03-24,1996-03-11,1993-03-24,1996-03-11
CA 8243,"Department of Immigration and Multicultural Affairs [I], Central Office",Department of State,Australian Capital Territory,1996-03-11,2001-11-26,1996-03-11,2001-11-26
CA 8244,"Department of Immigration and Multicultural Affairs [I], State Office, Queensland",Regional or State Office,Queensland,1996-03-11,2001-11-26,1996-03-11,2001-11-26
CA 8249,"Department of Immigration and Multicultural Affairs, Southport Office [Queensland]",Local Office,Queensland,1996-03-11,2001-11-26,1996-03-11,2001-11-26
CA 8252,"Department of Immigration and Multicultural Affairs [I], State Headquarters, New South Wales",Regional or State Office,New South Wales,1996-03-11,2001-11-26,1996-03-11,2001-11-26
CA 8253,"Department of Immigration and Multicultural Affairs [I], State Office, Victoria",Regional or State Office,Victoria,1996-03-11,2001-11-26,1996-03-11,2001-11-26
CA 8254,"Department of Immigration and Multicultural Affairs, State Office, South Australia[I]",Regional or State Office,South Australia,1996-03-11,2001-11-26,1996-03-11,2001-11-26
CA 8255,"Department of Immigration and Multicultural Affairs [I], State Office, Western Australia",Regional or State Office,Western Australia,1996-03-11,2001-11-26,1996-03-11,2001-11-26
CA 8256,"Department of Immigration and Multicultural Affairs [I], State Office, Tasmania",Regional or State Office,Tasmania,1996-03-11,2001-11-26,1996-03-11,2001-11-26
CA 8257,"Department of Immigration and Multicultural Affairs, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,1996-03-11,2001-11-26,1996-03-11,2001-11-26
CA 8258,"Department of Immigration and Multicultural Affairs, Northern Territory Office",Regional or State Office,Northern Territory,1996-03-11,2001-11-26,1996-03-11,2001-11-26
CA 8872,"Department of Immigration and Multicultural and Indigenous Affairs, Central Office",Department of State,Australian Capital Territory,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8882,"Department of Immigration and Multicultural and Indigenous Affairs, State Office, Queensland",Local Office,Queensland,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8883,"Department of Immigration and Multicultural and Indigenous Affairs, State Office, Western Australia",Regional or State Office,Western Australia,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8885,"Department of Immigration and Multicultural and Indigenous Affairs, Southport Office [Queensland] [1]",Local Office,Queensland,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8887,"Department of Immigration and Multicultural and Indigenous Affairs, Area Office. Cairns [Queensland]",Local Office,Queensland,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8889,"Department of Immigration and Multicultural and Indigenous Affairs, Area Office. Thursday Island [Queensland] [1]",Local Office,Queensland,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8901,"Department of Immigration and Multicultural and Indigenous Affairs, State Office, South Australia",Regional or State Office,South Australia,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8904,"Department of Immigration and Multicultural and Indigenous Affairs, State Office, New South Wales",Regional or State Office,New South Wales,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8910,"Department of Immigration and Multicultural and Indigenous Affairs, Tasmania State Office",Regional or State Office,Tasmania,2001-11-26,2006-01-26,2001-11-26,2006-01-26
CA 8913,"Department of Immigration and Multicultural and Indigenous Affairs, Victoria State Office",Regional or State Office,Victoria,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8923,"Department of Immigration and Multicultural and Indigenous Affairs, The Rocks Office, Sydney",Local Office,New South Wales,2001-11-26,2002-04-19,2001-11-26,2002-04-19
CA 8924,"Department of Immigration and Multicultural and Indigenous Affairs, Parramatta Office, New South Wales",Local Office,New South Wales,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8925,"Department of Immigration and Multicultural and Indigenous Affairs, Rockdale Office, New South Wales",Local Office,New South Wales,2001-11-26,2002-12-20,2001-11-26,2002-12-20
CA 8933,"Department of Immigration and Multicultural and Indigenous Affairs, Northern Territory Office",Regional or State Office,Northern Territory,2001-11-26,2007-01-30,2001-11-26,2007-01-30
CA 8947,"Department of Immigration and Multicultural and Indigenous Affairs, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 9034,Department of Immigration and Multicultural Affairs [II],Department of State,Australian Capital Territory,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9085,"Department of Immigration and Multicultural Affairs [II], Brisbane Office, Queensland",Local Office,Queensland,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9087,"Department of Immigration and Multicultural Affairs [II], Cairns Office, Queensland",Local Office,Queensland,2006-01-27,2007-12-03,2006-02-27,
CA 9088,"Department of Immigration and Multicultural Affairs [II], State Office, Tasmania",Local Office,Tasmania,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9090,"Department of Immigration and Multicultural Affairs [II], Gold Coast Region Office, Queensland",Regional or State Office,Queensland,2006-01-27,2007-12-03,2006-02-27,
CA 9092,"Department of Immigration and Multicultural Affairs [II], Thursday Island Office, Queensland",Local Office,Queensland,2006-01-27,2007-12-03,2006-01-27,2007-12-03
CA 9093,"Department of Immigration and Multicultural Affairs[II], Adelaide Office, South Australia",Local Office,South Australia,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9096,"Department of Immigration and Multicultural Affairs [II], Sydney Office",Regional or State Office,New South Wales,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9097,"Department of Immigration and Multicultural Affairs [II], Parramatta Office, New South Wales",Regional or State Office,New South Wales,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9122,"Department of Immigration and Multicultural Affairs [II], Melbourne Office, Victoria",Regional or State Office,Victoria,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9123,"Department of Immigration and Multicultural Affairs [II], Dandenong Office, Victoria",Regional or State Office,Victoria,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9134,"Department of Immigration and Multicultural Affairs [II], Perth Office, Western Australia",Regional or State Office,Western Australia,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9152,"Department of Immigration and Citizenship, Central Office",Department of State,Australian Capital Territory,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9205,"Department of Immigration and Citizenship, South Australia State Office",Regional or State Office,South Australia,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9209,"Department of Immigration and Citizenship, Victoria State Office",Regional or State Office,Victoria,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9210,"Department of Immigration and Citizenship, Dandenong Office [Victoria]",Regional or State Office,Victoria,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9250,"Department of Immigration and Citizenship, Queensland State Office",Regional or State Office,Queensland,2007-01-30,2013-09-18,2007-12-03,2013-09-18
CA 9251,"Department of Immigration and Citizenship, Cairns Office [Queensland]",Local Office,Queensland,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9252,"Department of Immigration and Citizenship, Thursday Island [Queensland]",Local Office,Queensland,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9257,"Department of Immigration and Citizenship, Southport Office [Queensland]",Regional or State Office,Queensland,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9258,"Department of Immigration and Citizenship, Western Australia State Office",Regional or State Office,Western Australia,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9300,"Department of Immigration and Citizenship, Northern Territory Office",Regional or State Office,Northern Territory,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9313,"Department of Immigration and Citizenship, New South Wales State Office",Regional or State Office,New South Wales,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9322,"Department of Immigration and Multicultural Affairs [II], Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9323,"Department of Immigration and Citizenship, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9365,"Department of Immigration and Citizenship, Tasmania State Office",Regional or State Office,Tasmania,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9431,"Department of Immigration and Border Protection, Central Office",Department of State,Australian Capital Territory,2013-09-18,,2013-09-18,
CA 9467,"Department of Immigration and Border Protection, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2013-09-18,,2013-09-18,
CA 9470,"Department of Immigration and Border Protection, Cairns Queensland Office",Regional or State Office,Queensland,2013-09-18,,2013-09-18,
