agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 9431,"Department of Immigration and Border Protection, Central Office",Department of State,Australian Capital Territory,2013-09-18,,2013-09-18,
CA 9467,"Department of Immigration and Border Protection, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2013-09-18,,2013-09-18,
CA 9470,"Department of Immigration and Border Protection, Cairns Queensland Office",Regional or State Office,Queensland,2013-09-18,,2013-09-18,
CA 9527,"Australian Border Force, National Office",Head Office,Australian Capital Territory,2015-07-01,,2015-07-01,
CA 9531,"Australian Border Force, Regional Head Office, Melbourne, Victoria",Regional or State Office,Victoria,2015-07-01,,2015-07-01,
CA 9534,"Australian Border Force, Regional Head Office, Sydney",Regional or State Office,New South Wales,2015-07-01,,2015-07-01,
CA 9539,"Australian Border Force, Regional head office, Brisbane, Queensland Office",Regional or State Office,Queensland,2015-07-01,,2015-07-01,
CA 9540,"Australian Border Force, Bundaberg, Queensland",Local Office,Queensland,2015-07-01,,2015-07-01,
CA 9541,"Australian Border Force, Cairns, Queensland",Local Office,Queensland,2015-07-01,,2015-07-01,
CA 9543,"Australian Border Force, Gladstone, Queensland",Local Office,Queensland,2015-07-01,,2015-07-01,
CA 9544,"Australian Border Force, Mackay, Queensland",Local Office,Queensland,2015-07-01,,2015-07-01,
CA 9545,"Australian Border Force, Thursday Island, Queensland",Local Office,Queensland,2015-07-01,,2015-07-01,
CA 9546,"Australian Border Force, Townsville, Queensland",Local Office,Queensland,2015-07-01,,2015-07-01,
CA 9547,"Australian Border Force, Weipa, Queensland",Local Office,Queensland,2015-07-01,,2015-07-01,
CA 9548,"Australian Border Force, Bowen, Queensland",Local Office,Queensland,2015-07-01,,2015-07-01,
CA 9549,"Australian Border Force, Air Operations, Brisbane",Local Office,Queensland,2015-07-01,,2015-07-01,
CA 9550,"Australian Border Force, Brisbane Gateway, Queensland",Local Office,Queensland,2015-07-01,,2015-07-01,
