agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 32,"Department of Social Services [I], Central Office",Department of State,"Australian Capital Territory, Victoria",1939-04-26,1972-12-19,1947-03-12,1950-11-16
CA 49,"Department of Post-War Reconstruction, Central Office",Department of State,"Australian Capital Territory, New South Wales",1942-12-22,1950-03-16,1942-12-22,1950-03-16
CA 590,"Commonwealth Office of Education, Central Office",Head Office,New South Wales,1945-11-08,1967-12-31,1945-11-08,1967-12-31
CA 591,"Commonwealth Office of Education, State Office, New South Wales",Regional or State Office,New South Wales,1957-12-31,,1957-12-31,1967-07-01
CA 592,"Commonwealth Office of Education, State Office, Melbourne",Regional or State Office,Victoria,1947-07-01,1967-12-31,1947-07-01,1967-12-31
CA 593,"Commonwealth Office of Education, State Office, Brisbane",Regional or State Office,Queensland,1947-07-01,1967-12-31,1947-07-01,1967-12-31
CA 594,"Commonwealth Office of Education, Branch Office, Adelaide",Regional or State Office,South Australia,1947-07-01,1967-12-31,1947-07-01,1967-12-31
CA 595,"Commonwealth Office of Education, State Office, Perth",Regional or State Office,Western Australia,1947-07-01,1967-12-31,1947-07-01,1967-12-31
CA 596,"Commonwealth Office of Education, State Office, Hobart",Regional or State Office,Tasmania,1951-01-01,1967-12-31,1951-01-01,1967-12-31
CA 651,Australian School of Pacific Administration,Regional or State Office,New South Wales,1946-01-01,1973-12-01,1946-01-01,1973-12-01
CA 685,"International Training Centre, Canberra",Regional or State Office,Australian Capital Territory,1961-01-01,1969-12-31,1961-01-01,1969-12-31
CA 1192,"Education Division, Prime Minister's Department",Regional or State Office,Australian Capital Territory,1964-01-01,1966-12-13,1964-01-01,1966-12-31
CA 1196,"Department of Education and Science, Central Office",Department of State,Australian Capital Territory,1966-12-13,1972-12-19,1966-12-13,1972-12-19
CA 1238,Education Department,Intergovernmental agency,Northern Territory,1913-04-01,1928-04-01,1913-04-01,1928-04-01
CA 1299,"Education Branch, Department of the Interior [II]",Head Office,Australian Capital Territory,1966-10-06,1968-04-18,1966-10-06,1968-04-18
CA 1301,Education Branch,Head Office,Northern Territory,1928-08-01,1968-12-31,1928-08-01,1968-12-31
CA 1302,"Department of Education and Science, Northern Territory Office",Regional or State Office,Northern Territory,1968-01-01,1971-12-31,1968-01-01,1971-12-31
CA 1478,"Department of Education [I], Central Office",Department of State,Australian Capital Territory,1972-12-19,1983-03-11,1972-12-19,1983-03-11
CA 1545,"Department of Education and Science, State Office, Hobart",Regional or State Office,Tasmania,1966-12-31,1972-12-19,1967-01-01,1972-12-19
CA 1546,"Department of Education [I], Branch Office, Tasmania",Regional or State Office,Tasmania,1972-12-19,1983-03-11,1972-12-19,1983-03-11
CA 1604,"Department of Education and Science, State Office, New South Wales",Regional or State Office,New South Wales,,1972-12-19,1967-01-01,1972-12-19
CA 1605,"Department of Education [I], Branch Office, New South Wales",Regional or State Office,New South Wales,1972-12-19,1983-03-11,1972-12-19,1983-03-11
CA 1750,"Department of Education, State Office, Western Australia",Regional or State Office,Western Australia,1972-12-19,1983-03-11,1972-12-19,1983-03-11
CA 1751,"Department of Education and Science, State Office, Perth",Regional or State Office,Western Australia,1967-01-01,1972-12-19,1967-01-01,1972-12-19
CA 1784,"Department of Education and Science, State Office, Victoria",Regional or State Office,Victoria,1967-01-01,1972-12-19,1967-01-01,1972-12-19
CA 1785,"Department of Education [I], State Office, Victoria",Regional or State Office,Victoria,1972-12-19,1983-03-11,1972-12-19,1983-03-11
CA 1815,"Services Canteens Trust Fund, Central Office",Head Office,Victoria,1947-06-20,,1947-06-20,1986-12-31
CA 1936,"Senate Standing Committee on Education, Science and the Arts",Head Office,Australian Capital Territory,1971-04-07,1976-03-02,1971-04-07,1976-03-02
CA 1984,Office of the Minister of Justice and Education [I],Intergovernmental agency,South Australia,1874-07-01,1875-06-30,1874-07-01,1875-06-30
