agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 5,"Attorney-General's Department, Central Office",Department of State,Australian Capital Territory,1901-01-01,,1936-01-01,1947-12-31
CA 16,Repatriation Department [I],Department of State,Australian Capital Territory,1917-09-28,1974-06-12,1947-03-12,1958-04-23
CA 32,"Department of Social Services [I], Central Office",Department of State,"Australian Capital Territory, Victoria",1939-04-26,1972-12-19,1947-03-12,1950-11-16
CA 49,"Department of Post-War Reconstruction, Central Office",Department of State,"Australian Capital Territory, New South Wales",1942-12-22,1950-03-16,1942-12-22,1950-03-16
CA 54,Department of Supply and Development [II],Department of State,Victoria,1948-04-06,1950-03-16,1948-04-06,1950-03-16
CA 63,"Department of Primary Industry [I], Central Office",Department of State,Australian Capital Territory,1956-01-11,1974-06-12,1959-04-30,1974-06-12
CA 139,Civilian Requirements Board,Regional or State Office,New South Wales,1943-07-11,1946-03-26,1943-07-11,1946-03-26
CA 161,National Register Board,Local Office,Victoria,1939-06-20,,1939-06-20,1947-12-11
CA 172,Women's Employment Board,Regional or State Office,Victoria,1942-03-25,1944-10-11,1942-03-25,1944-10-11
CA 174,Manpower Priorities Board,Regional or State Office,Victoria,1941-06-02,1942-02-16,1941-06-02,1942-02-16
CA 276,Wheat Harvest Employment Commission,Head Office,Victoria,1942-10-23,,1942-10-23,1943-12-31
CA 314,Reconstruction Demobilisation Committee/ (by 1945) Central Demobilisation Committee,Head Office,"Australian Capital Territory, Victoria",1943-03-01,1947-02-15,1943-03-01,1947-02-15
CA 316,Central Hirings Committee,Local Office,Victoria,1942-09-01,1947-12-31,1942-09-01,1947-12-31
CA 319,Commonwealth Committee of Advice on Manpower,Head Office,Victoria,1942-04-01,,1942-04-01,1947-07-31
CA 357,Reconstruction Training Committee/ (by 1945) Central Reconstruction Training Committee,Head Office,"Australian Capital Territory, Victoria",1943-03-02,1963-12-13,1943-03-02,1963-12-13
CA 389,Central Trades Committee,Head Office,Australian Capital Territory,1946-08-15,,1946-08-15,2011
CA 392,Reconstruction Re-Employment Committee/ (by 1945) Central Re-Established and Re-Employment Committee,Head Office,Victoria,1943-04-14,1950-12-31,1943-04-14,1950-12-31
CA 417,Central Dilution Committees,Head Office,Victoria,1941-01-01,1946-12-31,1941-01-01,1946-12-31
CA 421,(Services) Man Power Committee,Local Office,Victoria,1938-09-16,1944-04-01,1938-09-16,1944-04-01
CA 452,Day Baking Committee,Regional or State Office,Australian Capital Territory,1942-11-03,1943-06-30,1942-11-03,1943-06-30
CA 533,"Directorate of Manpower, Central Office",Head Office,Australian Capital Territory,1942-01-19,1946-05-01,1942-01-19,1946-04-30
CA 539,Directorate of Voluntary Service,Local Office,Australian Capital Territory,1943-06-01,1944-12-31,1943-06-01,1944-12-31
CA 635,Trade Union Advisory Panel,Regional or State Office,Australian Capital Territory,1940-07-26,,1940-07-26,1942-08-13
CA 680,Civil Aliens Corps,Regional or State Office,Victoria,1943-05-03,1945-09-20,1943-05-03,1945-09-20
CA 681,Civil Constructional Corps,Regional or State Office,Victoria,1942-04-14,1946-07-01,1942-04-14,1946-07-01
CA 719,Parliamentary Committee for the Survey of Manpower and Resources,,Australian Capital Territory,1941-02-14,1942-05-04,1941-02-14,1942-05-04
CA 1196,"Department of Education and Science, Central Office",Department of State,Australian Capital Territory,1966-12-13,1972-12-19,1966-12-13,1972-12-19
CA 1278,"Mercantile Marine Office/(by 1989) Marine Crews Office, Newcastle [New South Wales]",Local Office,New South Wales,1922-03-01,,1922-03-01,1994-06-30
CA 1380,"Civilian Labour Office, RAAF Base, Butterworth",Regional or State Office,Australian Capital Territory,1958-06-26,1988-06-01,1958-06-26,1988-06-01
CA 1480,"Department of Labour, Central Office",Department of State,Victoria,1972-12-19,1974-06-12,1972-12-19,1974-06-12
CA 1581,"Department of Labour and National Service, Branch Office/ Regional Administration, Tasmania",Regional or State Office,Tasmania,1943-01-01,1972-12-19,1943-01-01,1972-12-19
CA 1582,"Department of Labour, Regional Administration, Tasmania",Regional or State Office,Tasmania,1972-12-19,1974-06-12,1972-12-19,1974-06-12
CA 1680,"Department of Labour, Regional Administration, New South Wales",Regional or State Office,New South Wales,1972-12-19,1974-06-12,1972-12-19,1974-06-12
CA 1681,"Department of Labour and National Service, Branch Office/ Regional Administration, New South Wales",Regional or State Office,New South Wales,1943-01-01,1972-12-19,1943-01-01,1972-12-19
CA 1760,"Department of Labour, Regional Administration, Western Australia",Regional or State Office,Western Australia,1972-12-19,1974-06-12,1972-12-19,1974-06-12
CA 1764,"Waterside Employment Committee, Bunbury [Western Australia]",Local Office,Western Australia,1942-07-03,1949-07-18,1942-07-03,1949-07-18
CA 1765,"Waterside Employment Committee, Fremantle [Western Australia]",Local Office,Western Australia,1942-06-11,1949-07-18,1942-06-11,1949-07-18
CA 1766,"Waterside Employment Committee, Geraldton [Western Australia]",Local Office,Western Australia,1942-06-11,1949-07-18,1942-06-11,1949-07-18
CA 1767,"Waterside Employment Committee, Albany [Western Australia]",Local Office,Western Australia,1942-06-11,1949-07-18,1942-06-11,1949-07-18
CA 1769,"Department of Labor and Immigration, Central Office",Department of State,Victoria,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 1809,National Committee on Discrimination in Employment and Occupation,Head Office,Victoria,1974-03-01,1986-12-10,1974-03-01,1986-12-10
CA 1826,National Training Council,Head Office,"Australian Capital Territory, Victoria",1973-01-01,1986-11-01,1973-01-01,1986-11-01
CA 1967,"Department of Employment and Industrial Relations [I], Regional Administration, New South Wales",Regional or State Office,New South Wales,1975-12-22,1978-12-05,1975-12-22,1978-12-05
CA 2043,"Employment Division [II], Department of Labour and National Service",Regional or State Office,"New South Wales, Victoria",1946-05-01,1953-03-01,1946-05-01,1953-03-01
CA 2044,"Employment Division [I], Department of Labour and National Service",Regional or State Office,Victoria,1940-12-01,1942-01-19,1940-12-01,1942-01-31
CA 2046,"Industrial Welfare Division, Central Office, Department of Labour and National Service",Head Office,Victoria,1941-01-01,1953-03-31,1941-01-01,1953-03-31
CA 2090,"Department of Employment and Industrial Relations [I], Regional Administration, Victoria",Regional or State Office,Victoria,1975-12-22,1978-12-05,1975-12-22,1978-12-05
CA 2150,"Department of Labour, Regional Administration, Queensland",Regional or State Office,Queensland,1972-12-19,1974-06-12,1972-12-19,1974-06-12
CA 2211,"Department of Employment and Industrial Relations [I], Regional Administration, Brisbane, Queensland",Regional or State Office,Queensland,1975-12-22,1978-12-05,1975-12-22,1978-12-05
CA 2322,"Labor Group, Department of Labor and Immigration, Regional Administration, Western Australia",Regional or State Office,Western Australia,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 2323,"Labor Group, Department of Labor and Immigration, Regional Administration, South Australia",Regional or State Office,South Australia,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 2324,"Department of Labour, Regional Administration, South Australia",Regional or State Office,South Australia,1972-12-19,1974-06-12,1972-12-19,1974-06-12
CA 2331,"Department of Employment and Industrial Relations [I], Regional Administration, South Australia",Regional or State Office,South Australia,1975-12-22,1978-12-05,1975-12-22,1978-12-05
CA 2416,Inquiry into Unemployment Benefit Policy and Administration,Head Office,Victoria,1977-04-15,1977-07-29,1977-04-15,1977-07-29
CA 2425,"Department of Labour and National Service, Victorian Regional Office",Regional or State Office,Victoria,1953-03-01,1972-12-19,1953-03-01,1972-12-19
CA 2746,"Department of Employment and Youth Affairs, Central Office, Canberra (also Melbourne, 1978-by 1981)",Department of State,"Australian Capital Territory, Victoria",1978-12-05,1982-05-07,1978-12-05,1982-05-07
CA 2759,"Department of Employment and Youth Affairs, Regional Administration, Tasmania",Regional or State Office,Tasmania,1978-12-05,1982-05-07,1978-12-05,1982-05-07
CA 2760,"Department of Employment and Youth Affairs, Regional Administration, South Australia",Regional or State Office,South Australia,1978-12-05,1982-05-07,1978-12-05,1982-05-07
CA 2761,"Department of Employment and Youth Affairs, Regional Administration, Brisbane, Queensland",Regional or State Office,Queensland,1980-04-01,1982-05-07,1980-04-01,1982-05-07
CA 2762,"Department of Employment and Youth Affairs, Regional Administration, Western Australia",Regional or State Office,Western Australia,1978-12-05,1982-05-07,1978-12-05,1982-05-07
CA 2763,"Department of Employment and Youth Affairs, Regional Administration, Northern Territory",Regional or State Office,Northern Territory,1978-12-05,1982-05-07,1978-12-05,1982-05-07
CA 2764,"Department of Employment and Youth Affairs, Regional Administration, New South Wales",Regional or State Office,New South Wales,1978-12-05,1982-05-07,1978-12-05,1982-05-07
CA 2814,"Commonwealth Employment Service, Townsville [Queensland]",Local Office,Queensland,1946-01-01,1994-07-01,1946-01-01,1994-07-01
CA 2895,"Department of Labour and National Service, Branch Office/Regional Administration, South Australia",Regional or State Office,South Australia,,1972-12-19,1941-06-01,1972-12-19
CA 2967,"Employment Division [II], Branch Office, Victoria, Department of Labour and National Service",Regional or State Office,Victoria,1946-03-01,1953-03-31,1946-03-01,1953-03-31
CA 3233,New South Wales Committee on Discrimination in Employment and Occupation,Regional or State Office,New South Wales,1973-05-23,1986-12-10,1973-05-23,1986-12-10
CA 3245,"Mercantile Marine Office/(by 01 Jan 1989) Marine Crews Office, Sydney [New South Wales]",Regional or State Office,New South Wales,1922-03-01,1998-03-01,1922-03-01,1998-03-01
CA 3264,"Department of Employment and Youth Affairs, Regional Administration, Victoria",Regional or State Office,Victoria,1978-12-05,1982-05-07,1978-12-05,1982-05-07
CA 3296,South Yarra Work Preparation Centre [Victoria],Local Office,Victoria,1973-08-01,,1973-08-01,
CA 3642,"Local Trades Committee/(from 1996) Trades Recognition Australia, New South Wales",Regional or State Office,New South Wales,1946-09-20,,1946-09-20,2011
CA 3643,"Local Trades Committee, Western Australia",Regional or State Office,Western Australia,1946-08-15,1996-07-01,1946-08-15,1996-07-01
CA 3644,"Local Trades Committee, Tasmania",Regional or State Office,Tasmania,1946-08-15,,1946-08-15,2011
CA 3645,"Local Trades Committee, Victoria",Regional or State Office,Victoria,1946-08-15,,1946-08-15,2011
CA 3646,"Local Trades Committees, South Australia",Regional or State Office,South Australia,1946-08-15,,1946-08-15,2011
CA 3647,"Local Trades Committee, Queensland",Regional or State Office,Queensland,1946-08-15,,1946-08-15,2011
CA 3884,"Mercantile Marine Office/ (by 1989) Marine Crews Office, Port Kembla [New South Wales]",Local Office,New South Wales,1922-07-01,,1922-07-01,1994-06-30
CA 4001,"State Secretary, Women's Employment Board, New South Wales",Regional or State Office,New South Wales,1944-01-01,1944-10-11,1944-01-01,1944-10-11
CA 4195,Tasmanian Committee on Discrimination in Employment and Occupation,Regional or State Office,Tasmania,1974-03-01,,1974-03-01,
CA 4255,"Commonwealth Employment Service, Beverley [South Australia]",Local Office,South Australia,1979-01-01,1989-12-31,1979-01-01,1989-12-31
CA 4256,"Commonwealth Employment Service, Ceduna [South Australia]",Local Office,South Australia,1982-01-01,1998-04-30,1982-01-01,1998-04-30
CA 4257,"Commonwealth Employment Service, Croydon Park [South Australia]",Local Office,South Australia,1978-01-01,1998-04-30,1978-01-01,1998-04-30
CA 4258,"Commonwealth Employment Service, Brighton [South Australia]",Local Office,South Australia,1981-01-01,1989-12-31,1981-01-01,1989-12-31
CA 4259,"Commonwealth Employment Service, Gawler [South Australia]",Local Office,South Australia,1948-01-01,1998-04-30,1948-01-01,1998-04-30
CA 4260,"Commonwealth Employment Service, Glenelg [South Australia]",Local Office,South Australia,1970-01-01,1998-04-30,1970-01-01,1998-04-30
CA 4261,"Commonwealth Employment Service, Adelaide [South Australia]",Local Office,South Australia,1946-01-01,1998-04-30,1946-01-01,1998-04-30
CA 4262,"Commonwealth Employment Service, King William Street [South Australia]",Local Office,South Australia,1980-01-01,1998-04-30,1980-01-01,1998-04-30
CA 4263,"Commonwealth Employment Service, Mile End [South Australia]",Local Office,South Australia,1980-01-01,1998-04-30,1980-01-01,1998-04-30
CA 4264,"Commonwealth Employment Service, Modbury [South Australia]",Local Office,South Australia,1983-01-01,1998-04-30,1983-01-01,1998-04-30
CA 4265,"Commonwealth Employment Service, Morphett Vale [South Australia]",Local Office,South Australia,1974-01-01,1989-12-31,1974-01-01,1989-12-31
CA 4266,"Commonwealth Employment Service, Mount Gambier [South Australia]",Local Office,South Australia,1948-01-01,1998-04-30,1948-01-01,1998-04-30
CA 4267,"Commonwealth Employment Service, Salisbury [South Australia]",Local Office,South Australia,1977-01-01,1998-04-30,1977-01-01,1998-04-30
CA 4268,"Commonwealth Employment Service, Whyalla [South Australia]",Local Office,South Australia,1966-01-01,1998-04-30,1966-01-01,1998-04-30
CA 4269,"Commonwealth Employment Service, Edwardstown [South Australia]",Local Office,South Australia,1961-01-01,1998-04-30,1961-01-01,1998-04-30
CA 4270,"Commonwealth Employment Service, Elizabeth [South Australia]",Local Office,South Australia,1961-01-01,1998-04-30,1961-01-01,1998-04-30
CA 4271,"Commonwealth Employment Service, Campbelltown [South Australia]",Local Office,South Australia,1977-01-01,1987-12-31,1977-01-01,1987-12-31
CA 4272,"Commonwealth Employment Service, Enfield [South Australia]",Local Office,South Australia,1964-01-01,1998-04-30,1964-01-01,1998-04-30
CA 4273,"Commonwealth Employment Service, Murray Bridge [South Australia]",Local Office,South Australia,1948-01-01,1998-04-30,1948-01-01,1998-04-30
CA 4274,"Commonwealth Employment Service, Noarlunga Centre [South Australia]",Local Office,South Australia,1980-01-01,1998-04-30,1980-01-01,1998-04-30
CA 4275,"Commonwealth Employment Service, Norwood [South Australia]",Local Office,South Australia,1965-01-01,1998-04-30,1965-01-01,1998-04-30
CA 4276,"Commonwealth Employment Service, Port Adelaide [South Australia]",Local Office,South Australia,1946-01-01,1998-04-30,1946-01-01,1998-04-30
CA 4277,"Commonwealth Employment Service, Port Augusta [South Australia]",Local Office,South Australia,1948-01-01,1998-04-30,1948-01-01,1998-04-30
CA 4278,"Commonwealth Employment Service, Port Lincoln [South Australia]",Local Office,South Australia,1948-01-01,1998-04-30,1948-01-01,1998-04-30
CA 4279,"Commonwealth Employment Service, Port Pirie [South Australia]",Local Office,South Australia,1948-01-01,1998-04-30,1948-01-01,1998-04-30
CA 4280,"Commonwealth Employment Service, Renmark [South Australia]",Local Office,South Australia,1957-01-01,1987-12-31,1957-01-01,1987-12-31
CA 4281,"Commonwealth Employment Service, Unley [South Australia]",Local Office,South Australia,1967-01-01,1988-12-31,1967-01-01,1988-12-31
CA 4282,"Commonwealth Employment Service, Northern Zone Office, South Australia (from 20 May 1992 Department of Employment, Education and Training, Area North Office)",Local Office,South Australia,1980-04-01,1994-07-01,1980-04-01,1994-07-01
CA 4283,"Commonwealth Employment Service, Central Zone Office, South Australia",Head Office,South Australia,1980-04-01,1998-04-30,1980-04-01,1998-04-30
CA 4284,"Commonwealth Employment Service, Southern Zone Office, South Australia",Local Office,South Australia,1980-04-01,1998-04-30,1980-04-01,1998-04-30
CA 4547,Victorian Committee on Discrimination in Employment and Occupation,Regional or State Office,Victoria,1974-03-01,,1974-03-01,
CA 4639,Queensland Committee on Discrimination in Employment and Occupation,Regional or State Office,Queensland,1973-06-01,1986-12-31,1973-06-01,1986-12-25
CA 4704,"Deputy Director-General of Manpower, South Australia",Regional or State Office,South Australia,1942-01-01,,1942-01-01,1946-04-01
CA 4715,South Australian Committee on Discrimination in Employment and Occupation,Regional or State Office,South Australia,1973-06-01,1988-02-29,1973-06-01,1988-02-29
CA 4827,Western Australian Committee on Discrimination in Employment and Occupation,Regional or State Office,Western Australia,1973-01-01,1987-12-31,1973-01-01,1987-12-31
CA 4961,Northern Territory Committee on Discrimination in Employment and Occupation/ and (by 1984) Sex Discrimination Enquiries Office,Head Office,Northern Territory,1979-01-01,1986-07-28,1979-01-01,1986-07-28
