agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 10,"Department of Trade and Customs, Central Office",Department of State,"Australian Capital Territory, Victoria",1901-01-01,1956-01-11,1923-01-01,1956-01-11
CA 650,"Commonwealth Investigation Service, Central Office",Head Office,Australian Capital Territory,1946-08-08,1960-04-21,1946-08-08,1960-04-21
CA 746,"Special Intelligence Bureau, (Central Office) Melbourne",Head Office,Victoria,1916-01-14,1919-11-01,1916-01-14,1919-11-01
CA 747,"Investigation Branch, Central Office, Melbourne and Canberra",Head Office,"Australian Capital Territory, Victoria",1919-11-01,1946-08-08,1919-11-01,1946-08-08
CA 749,"Special Intelligence Bureau, Tasmania",Regional or State Office,Tasmania,1917-10-01,1919-11-01,1917-10-01,1919-11-01
CA 752,"Special Intelligence Bureau, Brisbane",Regional or State Office,Queensland,1917-06-07,1919-11-01,1917-06-07,1919-11-01
CA 753,"Investigation Branch, Queensland",Regional or State Office,Queensland,1919-11-01,1946-08-08,1919-11-01,1946-08-08
CA 904,"Investigation Branch, New South Wales",Regional or State Office,New South Wales,1919-11-01,1946-08-08,1919-11-01,1946-08-08
CA 905,"Investigation Branch, South Australia",Regional or State Office,South Australia,1919-11-01,1946-08-08,1919-11-01,1946-08-08
CA 906,"Investigation Branch, Tasmania",Regional or State Office,Tasmania,1919-11-01,1946-08-08,1919-11-01,1946-08-08
CA 907,"Investigation Branch, Victoria",Regional or State Office,Victoria,1927-01-01,1946-08-08,1927-01-01,1946-08-08
CA 908,"Investigation Branch, Western Australia",Regional or State Office,Western Australia,1919-11-01,1946-08-08,1919-11-01,1946-08-08
CA 909,"Special Intelligence Bureau, New South Wales",Regional or State Office,New South Wales,1917-06-07,1919-11-01,1917-06-07,1919-11-01
CA 910,"Special Intelligence Bureau, South Australia",Regional or State Office,South Australia,1917-10-01,1919-11-01,1917-10-01,1919-11-01
CA 911,"Special Intelligence Bureau, Western Australia",Regional or State Office,Western Australia,1917-08-01,1919-11-01,1917-08-01,1919-11-01
CA 912,"Commonwealth Investigation Service, New South Wales",Regional or State Office,New South Wales,1946-08-31,1960-04-21,1946-01-01,1960-08-31
CA 913,"Commonwealth Investigation Service, Queensland",Regional or State Office,Queensland,1946-08-08,1960-04-21,1946-01-01,1960-12-31
CA 914,"Commonwealth Investigation Service, South Australia",Regional or State Office,South Australia,1946-08-08,1960-04-21,1946-08-08,1960-04-21
CA 915,"Commonwealth Investigation Service, Tasmania",Regional or State Office,Tasmania,1946-01-01,1960-12-31,1946-01-01,1960-12-31
CA 916,"Commonwealth Investigation Service, Victoria",Regional or State Office,Victoria,1946-08-08,1960-04-21,1946-08-08,1960-04-21
CA 917,"Commonwealth Investigation Service, Western Australia",Regional or State Office,Western Australia,1946-08-08,1960-04-21,1946-08-08,1960-04-21
CA 1297,"Australian Security Intelligence Organisation, Central Office",Head Office,Australian Capital Territory,1949-03-16,,1949-03-16,
CA 1560,"Australian Security Intelligence Organisation, Tasmania",Regional or State Office,Tasmania,1949-01-01,1987-06-30,1949-01-01,1987-06-30
CA 1620,"Australian Security Intelligence Organisation, New South Wales",Regional or State Office,New South Wales,1949-03-16,,1949-03-16,
CA 1749,"Australian Security Intelligence Organisation, Western Australia",Regional or State Office,Western Australia,1949-03-16,,1949-01-01,
CA 1882,Royal Commission on Espionage,Head Office,"Australian Capital Territory, New South Wales, Victoria",1954-05-03,1957-08-31,1954-05-03,1955-08-22
CA 1883,Royal Commission into Alleged Missing Document Relating to Defence Plans,Head Office,Victoria,1943-06-29,1943-07-14,1943-06-29,1943-07-14
CA 1907,Royal Commission on Intelligence and Security,Head Office,Australian Capital Territory,1974-08-21,1977-04-21,1974-08-21,1977-04-21
CA 2849,Protective Security Review,Head Office,Australian Capital Territory,1978-02-23,1979-05-31,1978-02-23,1979-05-31
CA 3587,Security Appeals Tribunal,Judicial Court or Tribunal,Queensland,1980-06-01,1995-12-16,1980-06-01,1995-12-16
CA 4572,"Australian Security Intelligence Organisation, Victoria",Regional or State Office,Victoria,1949-03-16,,1949-03-16,
CA 4716,"Australian Security Intelligence Organisation, South Australia",Regional or State Office,South Australia,1949-03-01,,1949-03-01,
CA 7531,Royal Commission to inquire into circumstances under which certain public monies were used and to whom and for what purposes such funds were paid (also known as the 'Secret Funds' Royal Commission),Head Office,Australian Capital Territory,1941-09-27,1941-11-21,1941-09-27,1941-11-21
CA 8419,House of Representatives Joint Committee on the Australian Security Intelligence Organisation,Head Office,Australian Capital Territory,1988-08-31,,1988-08-31,
CA 9002,"Parliamentary Joint Committee on ASIO, ASIS  and DSD",Local Office,Australian Capital Territory,2002-02-15,2005-12-01,2002-03,2005-12-01
