agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 1489,"Department of Social Security, Central Office",Department of State,Australian Capital Territory,1972-12-19,1998-10-21,1974-06-12,1984-12-13
CA 8923,"Department of Immigration and Multicultural and Indigenous Affairs, The Rocks Office, Sydney",Local Office,New South Wales,2001-11-26,2002-04-19,2001-11-26,2002-04-19
CA 8924,"Department of Immigration and Multicultural and Indigenous Affairs, Parramatta Office, New South Wales",Local Office,New South Wales,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8925,"Department of Immigration and Multicultural and Indigenous Affairs, Rockdale Office, New South Wales",Local Office,New South Wales,2001-11-26,2002-12-20,2001-11-26,2002-12-20
CA 9152,"Department of Immigration and Citizenship, Central Office",Department of State,Australian Capital Territory,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9205,"Department of Immigration and Citizenship, South Australia State Office",Regional or State Office,South Australia,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9209,"Department of Immigration and Citizenship, Victoria State Office",Regional or State Office,Victoria,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9210,"Department of Immigration and Citizenship, Dandenong Office [Victoria]",Regional or State Office,Victoria,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9258,"Department of Immigration and Citizenship, Western Australia State Office",Regional or State Office,Western Australia,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9300,"Department of Immigration and Citizenship, Northern Territory Office",Regional or State Office,Northern Territory,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9313,"Department of Immigration and Citizenship, New South Wales State Office",Regional or State Office,New South Wales,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9323,"Department of Immigration and Citizenship, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9365,"Department of Immigration and Citizenship, Tasmania State Office",Regional or State Office,Tasmania,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9431,"Department of Immigration and Border Protection, Central Office",Department of State,Australian Capital Territory,2013-09-18,,2013-09-18,
CA 9434,"Department of Social Services [II], Central Office",Department of State,Australian Capital Territory,2013-09-18,,2013-09-18,
CA 9467,"Department of Immigration and Border Protection, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2013-09-18,,2013-09-18,
CA 9470,"Department of Immigration and Border Protection, Cairns Queensland Office",Regional or State Office,Queensland,2013-09-18,,2013-09-18,
