series_id,series_title,number_described,number_digitised
A71,"Subject index cards to matters relating to immigration from 'Immigration Cabinet', alphabetical series",1,0
A261,Application forms (culled from other file series) for admission of Relatives or Friends to Australia (Form 40),12921,768
A262,"Book Butts of Landing Permits, A Series (unprefixed from No. 8501)",0,0
A433,"Correspondence files, Class 2 (Restricted Immigration)",711,59
A434,"Correspondence files, Class 3 (Non British European Migrants)",1274,225
A435,Class 4 correspondence files relating to naturalisation,20000,1291
A436,"Correspondence files, Class 5 (British Migrants)",447,46
A437,"Correspondence files, class 6 (aliens registration)",250,31
A438,"Correspondence files, class 7 (general administration)",101,9
A439,"Correspondence files, multiple number series, Class 11 (Migrants A-C)",1677,109
A440,"Correspondence files, multiple number series, Class 12 (Migrants D-G)",1730,118
A441,"Correspondence files, multiple number series, Class 13 (Migrants H-K)",1831,136
A442,"Correspondence files, multiple number series, Class 14 (Migrants L-N)",1645,84
A443,"Correspondence files, multiple number series, Class 15 (Migrants O-S)",1604,136
A444,"Correspondence files, multiple number series, Class 16 (Migrants T-Z)",1388,81
A445,"Correspondence files, multiple number series (policy matters)",1260,207
A446,"Correspondence files, annual single number series with block allocations [Main correspondence files series of the agency]",20000,1439
A659,"Correspondence files, class 1 (general, passports)",928,68
A714,Books of duplicate certificates of naturalization A(1)[Individual person] series,20000,306
A715,Book of duplicate certificates of naturalization A(2) series,2884,50
A716,Book of duplicate certificates of naturalization 'B' series,1,0
A717,"Book of duplicate certificates of naturalization, 'C' series",1,0
A718,"Book of duplicate certificates of naturalization, 'D' series",1,0
A719,"Books of duplicate certificates of naturalization, 'E' series",2,1
A720,"Register of certificates of naturalisation, A(1), A(2), B, C, D, E series",1,0
A721,Declarations of Acquisition of British Nationality,13,0
A722,Declarations of Retention of Rights of a British Subject,10,0
A723,"Duplicate certificates of naturalization, 'A(NG)' series",1,0
A724,"Declaration of Acquisition of British Nationality, New Guinea",0,0
A897,"Book Butts of Landing Permits, B Series",0,0
A898,"Book Butts of Landing Permits, C Series",0,0
A900,"Book Butts of Authorities to enter Australia Temporarily ""A"" Series",0,0
A901,Book Butts of Authorities to enter Australia temporarily Single Number Series,0,0
A902,"Lists of Authorized Headings issued for Subject Index to multiple number series, 1951-1955",1,0
A997,"Applications for Permit to enter Australia, Form 47, (with Form 47A)",10870,156
A1073,"Duplicate certificates of naturalization, E(2) [Individual person with child] series",27,0
A1074,"Duplicate certificates of naturalization, E(1) [Individual person]",175,0
A1197,Incoming passenger cards,4615,4607
A1198,Outgoing passenger cards,1281,0
A1225,Incoming Passenger Cards-Aircraft,1111,38
A1226,Outgoing Passenger Cards: Aircraft,41,25
A1227,Inwards Passenger Manifests - Ships (Form M308),590,3
A1228,Outwards Passenger Manifests - ships (Form M.310),43,0
A1231,Inwards passenger manifests - aircraft,27,0
A1232,Outwards passenger manifests - aircraft,2,0
A1532,"Number Registers, Multiple Number Series",0,0
A1613,"Questionnaire Booklets, ""Survey of youth in Australia"", Single (code) Number Series",0,0
A1614,"Questionnaire Booklets, ""Survey of Youth in Australia"", Unnumbered",0,0
A1652,"Name index cards, naturalization",98,0
A1784,"Library Books, Dewey Decimal System",0,0
