agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 7,"Department of External Affairs [I], Melbourne",Department of State,Victoria,1901-01-01,1916-11-14,1901-01-01,1916-11-14
CA 10,"Department of Trade and Customs, Central Office",Department of State,"Australian Capital Territory, Victoria",1901-01-01,1956-01-11,1947-01-01,1956-01-11
CA 12,Prime Minister's Department,Department of State,Australian Capital Territory,1911-07-01,1971-03-12,1923-03-14,1925-01-16
CA 15,"Department of Home and Territories, Central Office",Department of State,Victoria,1916-11-14,1928-12-10,1916-11-14,1928-12-10
CA 20,"Department of Markets and Migration, Central Administration",Department of State,Victoria,1925-01-16,1928-01-19,1925-01-16,1928-01-19
CA 21,"Department of Markets [I], Central Office",Department of State,Victoria,1928-01-19,1928-12-10,1928-01-19,1928-12-10
CA 24,"Department of Home Affairs [II], (Central Office)",Department of State,Australian Capital Territory,1928-12-10,1932-04-12,1928-12-10,1932-12-04
CA 27,"Department of the Interior [I], Central Administration",Department of State,Australian Capital Territory,1932-04-12,1939-04-26,1932-04-12,1939-04-26
CA 31,"Department of the Interior [II], Central Office",Department of State,Australian Capital Territory,1939-04-26,1972-12-19,1939-04-26,1947-03-12
CA 51,"Department of Immigration, Central Office",Department of State,Australian Capital Territory,1945-07-13,1974-06-12,1945-07-13,1974-06-12
CA 243,Development and Migration Commission,Regional or State Office,Victoria,1926-10-01,1930-07-01,1926-10-01,1930-07-01
CA 299,Aliens Classification and Advisory Committee,Regional or State Office,Australian Capital Territory,1942-09-14,,1942-09-14,1947-12-31
CA 354,Migration Committee,Regional or State Office,Australian Capital Territory,1943-10-20,1945-08-31,1943-10-20,1945-08-31
CA 413,"Aliens Advisory Committee, New South Wales",Regional or State Office,New South Wales,1943-01-01,1947-12-31,1943-01-01,1947-12-31
CA 510,Commonwealth Immigration Advisory Council,Regional or State Office,Australian Capital Territory,1947-02-17,1974-08-16,1947-02-17,1974-08-16
CA 511,Commonwealth Immigration Planning Council,Head Office,Australian Capital Territory,1949-01-01,1975-09-30,1949-01-01,1975-09-30
CA 674,"Aliens Tribunal, New South Wales, No 1 Tribunal",Judicial Court or Tribunal,New South Wales,1940-12-12,1946-12-31,1940-12-12,1946-12-31
CA 759,"Department of Immigration, Northern Territory Branch",Regional or State Office,Northern Territory,,1974-06-12,1948-05-06,1974-06-12
CA 837,"Development Branch, Prime Minister's Department",Head Office,Australian Capital Territory,1930-07-01,1937-03-31,1930-07-01,1937-03-31
CA 957,"Department of Immigration, New South Wales Branch",Regional or State Office,New South Wales,1945-11-01,1979-06-12,1945-11-01,1974-06-12
CA 958,"Department of Immigration, Queensland Branch",Regional or State Office,Queensland,1945-12-06,1974-06-12,1945-12-06,1974-06-12
CA 959,"Department of Immigration, South Australia Branch",Regional or State Office,South Australia,1946-08-29,1974-06-12,1946-08-29,1974-06-12
CA 960,"Department of Immigration, Tasmanian Branch",Regional or State Office,Tasmania,1946-01-01,1974-06-12,1946-01-01,1974-06-12
CA 961,"Department of Immigration, Victorian Branch",Regional or State Office,Victoria,1945-11-01,1974-06-12,1945-11-01,1974-06-12
CA 962,"Department of Immigration, Western Australian Branch",Regional or State Office,Western Australia,1945-11-01,1974-06-12,1945-11-01,1974-06-12
CA 964,Commonwealth Immigration Publicity Council,Head Office,Australian Capital Territory,1962-05-01,1975-02-28,1962-05-01,1975-02-28
