agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 9259,"Australian Customs and Border Protection Service, National Office",Head Office,Australian Capital Territory,2009-05-22,2015-07-01,2009-05-22,2015-07-01
CA 9267,"Australian Customs and Border Protection Service, Regional Head Office, Fremantle",Regional or State Office,Western Australia,2009-05-22,,2009-05-22,
CA 9269,"Australian Customs and Border Protection Service, Regional Head Office, Melbourne, Victoria",Regional or State Office,Victoria,2009-05-22,2015-07-01,2009-05-22,2015-07-01
CA 9270,"Australian Customs and Border Protection Service, Regional Head Office, Brisbane, Queensland",Local Office,Queensland,2009-05-22,2015-07-01,2009-05-22,2015-07-01
CA 9272,"Australian Customs and Border Protection Service, Albany",Local Office,Western Australia,2009-05-22,,2009-05-22,
CA 9273,"Australian Customs and Border Protection Service, Broome",Local Office,Western Australia,2009-05-22,,2009-05-22,
CA 9275,"Australian Customs and Border Protection Service, Bunbury",Local Office,Western Australia,2009-05-22,,2009-05-22,
CA 9276,"Australian Customs and Border Protection Service, Carnarvon",Local Office,Western Australia,2009-05-22,,2009-05-22,
CA 9277,"Australian Customs and Border Protection Service, Christmas Island",Local Office,"Cocos or Christmas Island, Western Australia",2009-05-22,,2009-05-22,
CA 9278,"Australian Customs and Border Protection Service, Dampier",Local Office,Western Australia,2009-05-22,,2009-05-22,
CA 9279,"Australian Customs and Border Protection Service, Esperance",Local Office,Western Australia,2009-05-22,,2009-05-22,
CA 9280,"Australian Customs and Border Protection Service, Geraldton",Local Office,Western Australia,2009-05-22,,2009-05-22,
CA 9281,"Australian Customs and Border Protection Service, Perth International Airport",Local Office,Western Australia,2009-05-22,,2009-05-22,
CA 9282,"Australian Customs and Border Protection Service, Port Hedland",Local Office,Western Australia,2009-05-22,,2009-05-22,
CA 9283,"Australian Customs and Border Protection Service, Bowen, Queensland",Regional or State Office,Queensland,2009-05-22,2015-07-01,2009-05-22,2015-07-01
CA 9284,"Australian Customs and Border Protection Service, Bundaberg, Queensland",Regional or State Office,Queensland,2009-05-22,2015-07-01,2009-05-22,2015-07-01
CA 9285,"Australian Customs and Border Protection Service, Cairns, Queensland",Regional or State Office,Queensland,2009-05-22,2015-07-01,2009-05-22,2015-07-01
CA 9286,"Australian Customs and Border Protection Service, Gold Coast, Queensland",Regional or State Office,Queensland,2009-05-22,2015-07-01,2009-05-22,2015-07-01
CA 9287,"Australian Customs and Border Protection Service, Gladstone, Queensland",Regional or State Office,Queensland,2009-05-22,2015-07-01,2009-05-22,2015-07-01
CA 9288,"Australian Customs and Border Protection Service, Mackay, Queensland",Regional or State Office,Queensland,2009-05-22,2015-07-01,2009-05-22,2015-07-01
