agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 3002,Australian Refugee Advisory Council,Regional or State Office,Australian Capital Territory,1979-10-07,,1979-10-07,1981-05-13
CA 7732,"Department of Immigration and Ethnic Affairs [II], Determination of Refugee Status - Sydney outpost",Local Office,New South Wales,1992-09-02,1996-03-11,1992-09-02,1996-03-11
CA 8127,"Refugee Review Tribunal, Principal Registry",Head Office,New South Wales,1993-07-01,,1993-07-01,1999-06-01
CA 8299,"Department of Immigration and Multicultural Affairs [I], Determination of Refugee Status - Sydney outpost",Local Office,New South Wales,1996-03-11,2001-11-26,1996-03-11,2001-11-26
CA 9152,"Department of Immigration and Citizenship, Central Office",Department of State,Australian Capital Territory,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9205,"Department of Immigration and Citizenship, South Australia State Office",Regional or State Office,South Australia,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9209,"Department of Immigration and Citizenship, Victoria State Office",Regional or State Office,Victoria,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9210,"Department of Immigration and Citizenship, Dandenong Office [Victoria]",Regional or State Office,Victoria,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9258,"Department of Immigration and Citizenship, Western Australia State Office",Regional or State Office,Western Australia,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9300,"Department of Immigration and Citizenship, Northern Territory Office",Regional or State Office,Northern Territory,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9313,"Department of Immigration and Citizenship, New South Wales State Office",Regional or State Office,New South Wales,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9323,"Department of Immigration and Citizenship, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9365,"Department of Immigration and Citizenship, Tasmania State Office",Regional or State Office,Tasmania,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9431,"Department of Immigration and Border Protection, Central Office",Department of State,Australian Capital Territory,2013-09-18,,2013-09-18,
CA 9467,"Department of Immigration and Border Protection, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2013-09-18,,2013-09-18,
CA 9470,"Department of Immigration and Border Protection, Cairns Queensland Office",Regional or State Office,Queensland,2013-09-18,,2013-09-18,
CA 9527,"Australian Border Force, National Office",Head Office,Australian Capital Territory,2015-07-01,,2015-07-01,
CA 9531,"Australian Border Force, Regional Head Office, Melbourne, Victoria",Regional or State Office,Victoria,2015-07-01,,2015-07-01,
