agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 1487,"Department of Secondary Industry, Central Office",Department of State,Australian Capital Territory,1972-12-19,1974-06-12,1972-12-19,1974-06-12
CA 1770,"Department of Manufacturing Industry, Central Office",Department of State,Australian Capital Territory,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 8870,"Department of Education, Science and Training, Central Office",Department of State,Australian Capital Territory,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8893,"Department of Education, Science and Training, Queensland State Office",Local Office,Queensland,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8899,"Department of Education, Science and Training, South Australian State Office",Regional or State Office,South Australia,2001-11-26,2009-12-03,2001-11-26,2009-12-03
CA 8911,"Department of Education, Science and Training, Victoria State Office",Regional or State Office,Victoria,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8915,"Department of Education, Science and Training, Western Australia State Office",Local Office,Western Australia,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8920,"Department of Education, Science and Training, New South Wales State Office",Regional or State Office,New South Wales,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8931,"Department of Education, Science and Training, Northern Territory Office",Regional or State Office,Northern Territory,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 9185,"The Department of Education, Employment and Workplace Relations",Department of State,Australian Capital Territory,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9186,"Department of Innovation, Industry, Science and Research, Central Office",Department of State,Australian Capital Territory,2007-12-03,2011-12-14,2007-12-03,2011-12-14
CA 9212,"Department of Education, Employment and Workplace Relations, New South Wales state office",Regional or State Office,New South Wales,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9254,"AusIndustry, Queensland State Office",Regional or State Office,Queensland,2007-12-03,,2007-12-03,
CA 9260,Australian Fair Pay Commission,Head Office,Victoria,2005-12-14,2009-12,2005-12-14,2009-12
CA 9271,"The Department of Education, Employment and Workplace Relations, Western Australia State Office",Regional or State Office,Western Australia,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9336,"The Department of Education, Employment and Workplace Relations, Northern Territory Office",Regional or State Office,Northern Territory,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9337,"Ausindustry, Northern Territory Regional Office",Regional or State Office,Northern Territory,2007-12-03,,2007-12-03,
CA 9354,"The Department of Education, Employment and Workplace Relations, South Australia Office",Regional or State Office,South Australia,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9355,"AusIndustry, South Australia State Office",Regional or State Office,South Australia,2007-12-03,,2007-12-03,
CA 9362,"The Department of Education, Employment and Workplace Relations, Tasmania State Office",Regional or State Office,Tasmania,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9363,"AusIndustry, Tasmania State Office",Regional or State Office,Tasmania,2007-12-03,,2007-12-03,
CA 9382,"Department of Industry, Innovation, Science, Research and Tertiary Education, Central Office",Department of State,Australian Capital Territory,2011-12-14,2013-03-25,2011-12-14,2013-03-25
CA 9413,Australian Commission for Law Enforcement Integrity (ACLEI),Head Office,Australian Capital Territory,2006-12-30,,2006-12-30,
CA 9415,"Department of Industry, Innovation, Climate Change, Science, Research and Tertiary Education, Central Office",Department of State,Australian Capital Territory,2013-03-25,2013-09-18,2013-03-25,2013-09-18
CA 9432,"Department of Education [III], Central office",Department of State,Australian Capital Territory,2013-09-18,2014-12-23,2013-09-18,2014-12-23
CA 9502,Australian Renewable Energy Agency (ARENA),Head Office,Australian Capital Territory,2012-07-01,,2012-07-01,
CA 9514,"Department of Education and Training, Central Office",Department of State,Australian Capital Territory,2014-12-23,,2014-12-23,
CA 9516,"Department of Education and Training, State Office, South Australia",Regional or State Office,South Australia,2014-12-23,,2014-12-23,
CA 9517,"Department of Education and Training, State Office, Queensland",Regional or State Office,Queensland,2014-12-23,,2014-12-23,
CA 9518,"Department of Education and Training, State Office, Tasmania",Regional or State Office,Tasmania,2014-12-23,,2014-12-23,
CA 9519,"Department of Education and Training, State Office, New South Wales",Regional or State Office,New South Wales,2014-12-23,,2014-12-23,
CA 9520,"Department of Education and Training, State Office, Victoria",Regional or State Office,Victoria,2014-12-23,,2014-12-23,
CA 9521,"Department of Education and Training, State Office, Western Australia",Regional or State Office,Western Australia,2014-12-23,,2014-12-23,
CA 9522,"Department of Education and Training, State Office, Northern Territory",Regional or State Office,Northern Territory,2014-12-23,,2014-12-23,
