agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 49,"Department of Post-War Reconstruction, Central Office",Department of State,"Australian Capital Territory, New South Wales",1942-12-22,1950-03-16,1949-05-11,1950-03-16
CA 333,Defence Scientific Advisory Committee,Local Office,Victoria,1947-07-01,1948-11-12,1947-07-01,1948-11-12
CA 429,"Scientific Advisory Committee, Foodstuffs",Regional or State Office,Victoria,1943-01-01,1947-12-31,1943-01-01,1947-12-31
CA 1936,"Senate Standing Committee on Education, Science and the Arts",Head Office,Australian Capital Territory,1971-04-07,1976-03-02,1971-04-07,1976-03-02
CA 2423,"Australian Science, Technology and Engineering Council (ASTEC)",Head Office,Australian Capital Territory,1977-04-19,1989,1977-04-01,1989
CA 3277,"Senate Standing Committee on Science and the Environment/ (from 1983) Senate Standing Committee on Science, Technology and the Environment",Head Office,Australian Capital Territory,1976-03-02,1987-09-22,1976-03-02,1987-09-22
CA 4136,"Department of Science [III], Central Office",Department of State,Australian Capital Territory,1984-12-13,1987-07-24,1984-12-13,1987-07-24
CA 6703,"Senate Standing Committee on Industry, Science, Technology, Transport, Communications and Infrastructure",Head Office,Australian Capital Territory,1993-05-13,1994-10-10,1987-09-22,1994-10-10
CA 6944,"House of Representatives Standing Committee on Industry, Science and Resources",Head Office,Australian Capital Territory,1987-09-24,,1987-09-24,
CA 7780,Questacon - The National Science and Technology Centre,Head Office,Australian Capital Territory,1985-08-01,,1985-08-01,
CA 7902,"Department of Industry, Science and Technology, Central Office",Department of State,Australian Capital Territory,1994-03-25,1996-03-11,1994-03-25,1996-03-11
CA 7923,"Department of Industry, Science and Technology, State Office, New South Wales",Regional or State Office,New South Wales,1994-03-25,1996-03-11,1994-03-25,1996-03-11
CA 7924,"Department of Industry, Science and Technology, State Office, Western Australia",Regional or State Office,Western Australia,1994-03-25,1996-03-11,1994-03-25,1996-03-11
CA 7925,"Department of Industry, Science and Technology, State Office, Queensland",Regional or State Office,Queensland,1994-03-25,1996-03-11,1994-03-25,1996-03-11
CA 7926,"Department of Industry, Science and Technology, State Office, South Australia",Regional or State Office,South Australia,1994-03-25,1996-03-11,1994-03-25,1996-03-11
CA 7927,"Department of Industry, Science and Technology, State Office, Tasmania",Regional or State Office,Tasmania,1994-03-25,1996-03-11,1994-03-25,1996-03-11
CA 7930,"Department of Industry, Science and Technology, State Office, Victoria",Regional or State Office,Victoria,1994-03-25,1996-03-11,1994-03-25,1996-03-11
CA 8247,"Department of Industry, Science and Tourism, Central Office",Department of State,Australian Capital Territory,1996-03-11,1998-10-21,1996-03-11,1998-10-21
CA 8267,"Department of Industry, Science and Tourism, State Office, Queensland",Regional or State Office,Queensland,1996-03-11,1998-10-21,1996-03-11,1998-10-21
CA 8268,"Department of Industry, Science and Tourism, State Office, New South Wales",Regional or State Office,New South Wales,1996-03-11,1998-10-21,1996-03-11,1998-10-21
CA 8269,"Department of Industry, Science and Tourism, State Office, Victoria",Regional or State Office,Victoria,1996-03-11,1998-10-21,1996-03-11,1998-10-21
CA 8270,"Department of Industry, Science and Tourism, State Office, South Australia",Regional or State Office,South Australia,1996-03-11,1998-10-21,1996-03-11,1998-10-21
