agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 10,"Department of Trade and Customs, Central Office",Department of State,"Australian Capital Territory, Victoria",1901-01-01,1956-01-11,1918-07-17,1925-01-16
CA 12,Prime Minister's Department,Department of State,Australian Capital Territory,1911-07-01,1971-03-12,1928-12-10,1947-03-12
CA 18,"Department of External Affairs [II], Central Office",Department of State,Australian Capital Territory,1921-12-21,1970-11-06,1933-01-01,1968-12-31
CA 20,"Department of Markets and Migration, Central Administration",Department of State,Victoria,1925-01-16,1928-01-19,1925-01-16,1928-01-19
CA 21,"Department of Markets [I], Central Office",Department of State,Victoria,1928-01-19,1928-12-10,1928-01-19,1928-12-10
CA 57,"Department of Supply, Central Office",Department of State,Australian Capital Territory,1950-03-16,1974-06-12,1968-06-07,1972-12-19
CA 66,"Department of Trade and Industry, Central Office",Department of State,Australian Capital Territory,1963-12-17,1972-12-19,1968-05-16,1972-12-19
CA 220,Scientific Liaison Bureau,Regional or State Office,Victoria,1942-12-01,1945-12-31,1942-12-01,1945-12-31
CA 486,"Commonwealth Council for Scientific and Industrial Research [CSIR], Head Office",Regional or State Office,Victoria,1926-06-21,1949-05-19,1926-06-21,1949-05-18
CA 492,Advisory Council of Science and Industry,Regional or State Office,Victoria,1916-03-16,1920-09-14,1916-03-16,1920-09-14
CA 550,Commonwealth Institute of Science and Industry,Head Office,Victoria,1920-09-14,1926-06-21,1920-09-14,1926-06-21
CA 609,National Museum of Australian Zoology,Head Office,Victoria,1924-10-20,1931-10-29,1924-10-20,1931-10-29
CA 641,"CSIRO, Head Office",Head Office,Australian Capital Territory,1949-05-19,,1949-05-19,
CA 668,"(1) Commonwealth Laboratory, Central Office, Melbourne 1908-1973 [also (2) Laboratory Branch, Victoria, 1955-1969]",Head Office,Victoria,,,1908-01-01,1973-02-01
CA 669,Commonwealth Experimental Building Station/ (from 1974) Experimental Building Station,Head Office,New South Wales,1944-06-01,1985-12-05,1944-06-01,1985-12-05
CA 1009,"CSIRO, Division of Tropical Agriculture, Brisbane",Regional or State Office,Queensland,,2000-10-03,1959-01-01,2000-10-03
CA 1196,"Department of Education and Science, Central Office",Department of State,Australian Capital Territory,1966-12-13,1972-12-19,1966-12-13,1972-12-19
CA 1302,"Department of Education and Science, Northern Territory Office",Regional or State Office,Northern Territory,1968-01-01,1971-12-31,1968-01-01,1972-12-19
CA 1357,National Biological Standards Laboratory,Head Office,Australian Capital Territory,1958-07-10,1987-07-24,1958-07-10,1987-07-24
CA 1486,"Department of Science [I], Central Office",Department of State,Australian Capital Territory,1972-12-19,1975-06-06,1972-12-19,1975-06-06
CA 1530,"Australian National Antarctic Research Expeditions, Macquarie Island Station",Regional or State Office,Overseas,1948-03-01,,1948-03-01,
CA 1531,"Australian National Antarctic Research Expeditions, Mawson Station",Regional or State Office,Overseas,1954-02-13,,1954-02-13,
