agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 1319,Commonwealth Scholarships Board,Regional or State Office,"Australian Capital Territory, New South Wales",1959-05-07,1974-10-15,1959-05-07,1974-10-15
CA 2349,Australian Capital Territory Scholarships Office,Regional or State Office,Australian Capital Territory,1971-01-01,1973-12-31,1971-01-01,1973-12-31
CA 5864,"Department of Employment, Education and Training, (Education Division), Townsville [Queensland] /(from 1990) Department of Employment, Education and Training, Townsville Student Assistance Centre, Townsville [Queensland]",Regional or State Office,Queensland,1987-07-24,1997-07-01,1987-07-24,1997-07-01
CA 5866,"Department of Employment, Education and Training, (Education Division), Cairns, [Queensland] /(from 1990) Department of Employment, Education and Training, Cairns Student Assistance Centre, Cairns [Queensland]",Regional or State Office,Queensland,1987-07-24,1997-07-01,1987-07-24,1997-07-01
CA 7188,"Student Assistance Centre, Indooroopilly [Queensland]",Local Office,Queensland,1990-09-03,1997-07-01,1990-09-03,1997-07-01
CA 7408,"Student Assistance Centre, Rockhampton [Queensland]",Local Office,Queensland,1988-10-20,1997-07-01,1988-10-20,1997-07-01
CA 7410,"Student Assistance Centre, Chermside [Queensland]",Local Office,Queensland,1991-10-21,1997-07-01,1991-10-21,1997-07-01
CA 7411,"Student Assistance Centre, Mount Gravatt [Queensland]",Local Office,Queensland,1991-07-01,1997-07-01,1991-07-01,1997-07-01
CA 7507,"Student Assistance Centre, Toowoomba [Queensland]",Local Office,Queensland,1989-11-06,1997-07-01,1989-11-06,1997-07-01
CA 7566,"Department of Employment, Education and Training, Student Assistance Centre, Area Central, Western Australia",Local Office,Western Australia,1992-08-18,1997-07-01,1992-08-18,1997-07-01
CA 7567,"Department of Employment, Education and Training, Student Assistance Centre, Area South (Booragoon), Western Australia",Local Office,Western Australia,1992-08-18,1997-07-01,1992-08-18,1997-07-01
CA 7568,"Department of Employment, Education and Training, Student Assistance Centre, Area South (Cannington), Western Australia",Local Office,Western Australia,1992-08-18,1997-07-01,1992-08-18,1997-07-01
CA 7648,"Student Assistance Centre, Blacktown [New South Wales]",Local Office,New South Wales,1989-12-01,1997-07-01,1989-12-01,1997-07-01
CA 7650,"Student Assistance Centre, Newcastle [New South Wales]",Local Office,New South Wales,1989-11-01,1997-07-01,1989-11-01,1997-07-01
CA 7651,"Student Assistance Centre, Haymarket [New South Wales]",Local Office,New South Wales,1992-10-01,1997-07-01,1992-10-01,1997-07-01
CA 7652,"Student Assistance Centre, Wollongong [New South Wales]",Local Office,New South Wales,1989-01-01,1997-07-01,1989-01-01,1997-07-01
CA 7654,"Student Assistance Centre, Lismore [New South Wales]",Local Office,New South Wales,1992-08-01,1997-07-01,1992-08-01,1997-07-01
CA 7656,"Student Assistance Centre, Liverpool [New South Wales]",Local Office,New South Wales,1992-09-01,1997-07-01,1992-09-01,1997-07-01
CA 7669,"Department of Employment, Education and Training, AUSTUDY Regional Office, Student Assistance Centre, Canberra [Australian Capital Territory]",Local Office,Australian Capital Territory,1990-12-01,1997-07-01,1990-12-01,1997-07-01
CA 8059,"Student Assistance Centre, Tasmania",Local Office,Tasmania,1994-07-01,1997-07-01,1994-07-01,1997-07-01
CA 8064,"Department of Employment, Education and Training, Benefits Control Unit, Area North, Western Australia",Local Office,Western Australia,1994-09-01,1996-03-11,1994-09-01,
CA 8605,"Centrelink, Regional Office, Katherine [Northern Territory]",Local Office,Northern Territory,1997-07-01,,1997-07-01,
CA 8606,"Centrelink, Regional Office, Casuarina [Northern Territory]",Local Office,Northern Territory,1997-07-01,,1997-07-01,2005
CA 8607,"Centrelink, District Office, Tennant Creek [Northern Territory]",Local Office,Northern Territory,1997-07-01,,1997-07-01,
CA 8608,"Centrelink, Regional Office, Alice Springs [Northern Territory]",Local Office,Northern Territory,1997-07-01,,1997-07-01,
CA 8609,"Centrelink, Nhulunbuy Regional Office [Northern Territory]",Local Office,Northern Territory,1997-07-01,,1997-07-01,
