agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 135,Board of Higher Forestry Education,Regional or State Office,Australian Capital Territory,1930-12-09,1965-05-21,1930-12-09,1965-05-21
CA 274,Universities Commission [I],Head Office,New South Wales,1943-02-03,1959-05-07,1943-02-03,1959-05-07
CA 504,Interim Council of the Australian National University,Head Office,Australian Capital Territory,1946-08-07,1951-06-30,1946-08-07,1951-06-30
CA 505,"Australian National University, Council",Head Office,Australian Capital Territory,1951-07-01,,1951-07-01,
CA 508,The Council of the Canberra University College,Head Office,Australian Capital Territory,1930-01-01,1961-12-31,1930-01-01,1961-12-31
CA 829,Commission on Higher Education in Papua New Guinea,Head Office,Australian Capital Territory,1963-03-01,1964-03-26,1963-03-01,1964-03-26
CA 863,"Australian National University, Central Administration",Head Office,Australian Capital Territory,1947-02-07,,1947-02-07,
CA 1178,Committee on the Future of Tertiary Education,Head Office,Australian Capital Territory,1961-01-01,1965-12-31,1961-01-01,1965-12-31
CA 1193,Commonwealth Advisory Committee on Advanced Education,Regional or State Office,Australian Capital Territory,1965-01-01,1972-01-19,1965-01-01,1972-01-19
CA 1195,Committee of Inquiry into Academic Salaries,Head Office,Australian Capital Territory,1964-05-14,1964-09-30,1964-05-14,1964-09-30
CA 1320,Australian Universities Commission/ (from 1974) Universities Commission,Head Office,Australian Capital Territory,1959-05-07,1977-06-22,1959-05-07,1977-06-22
CA 1524,Australian Commission on Advanced Education/ (from 1973) Commission on Advanced Education,Head Office,Australian Capital Territory,1972-01-19,1977-06-22,1972-01-19,1977-06-22
CA 1617,Film and Television School,Regional or State Office,New South Wales,1973-08-31,1976-10-29,1973-08-31,1976-10-29
CA 1941,Canberra College of Advanced Education,Head Office,Australian Capital Territory,1966-12-22,1989-12-31,1966-12-22,1989-12-31
CA 1945,Inquiry into Salaries of Lecturers and Senior Lecturers in Colleges of Advanced Education,Head Office,Australian Capital Territory,1968-06-06,1969-05-01,1968-06-06,1969-05-01
CA 1946,Committee of Inquiry into Awards in Colleges of Advanced Education,Head Office,Australian Capital Territory,1968-07-09,1969-06-12,1968-06-09,1969-06-12
CA 1972,Canberra Technical College/ (from 1977) Canberra Technical and Further Education College,Head Office,Australian Capital Territory,1939-08-01,1988-01-03,1939-08-01,1988-01-03
CA 2234,Australian Committee on Technical and Further Education,Head Office,Australian Capital Territory,1973-04-26,1975-05-27,1973-04-26,1975-05-27
CA 2235,Technical and Further Education Commission,Head Office,Australian Capital Territory,1975-05-27,1977-06-22,1975-05-27,1977-06-22
CA 2272,"Australian Institute of Urban Studies, Council",Regional or State Office,Australian Capital Territory,1967-06-28,,1967-06-28,
CA 2273,"Australian Institute of Urban Studies, Board of Management",Head Office,Australian Capital Territory,1967-06-28,,1967-06-28,
CA 2278,Joint Committee for an Australian Institute of Urban Studies,Intergovernmental agency,"Australian Capital Territory, New South Wales, Victoria",1965-11-05,1967-06-28,1965-11-05,1967-06-28
CA 2359,Commonwealth Tertiary Education Commission,Head Office,Australian Capital Territory,1977-06-22,1988-07-01,1977-06-22,1988-07-01
CA 2360,Canberra School of Music,Local Office,Australian Capital Territory,1965-06-16,1988-02-08,1965-06-16,1988-02-08
CA 2501,Canberra School of Art,Local Office,Australian Capital Territory,1976-01-01,1988-02-08,1976-01-01,1988-02-08
CA 2519,"Universities Council, Tertiary Education Commission",Head Office,Australian Capital Territory,1977-06-22,1988-07-01,1977-06-22,1988-07-01
CA 2520,"Advanced Education Council, Tertiary Education Commission",Head Office,Australian Capital Territory,1977-06-22,1988-07-01,1977-06-22,1988-07-01
CA 2521,"Technical and Further Education Council, Tertiary Education Commission",Head Office,Australian Capital Territory,1977-06-22,1988-07-01,1977-06-22,1988-07-01
CA 2923,Bruce College of Technical and Further Education,Local Office,Australian Capital Territory,1977-03-14,1988-01-03,1977-03-14,1988-01-03
CA 3045,Commonwealth Inquiry into Management Education,Head Office,Australian Capital Territory,1980-04-22,,1980-04-22,1982-05-31
CA 3056,"Universities Commission, Branch Office, Adelaide",Regional or State Office,South Australia,1946-01-01,1959-12-31,1946-01-01,1959-12-31
CA 3143,Applied Ecology Pty Ltd,Head Office,Australian Capital Territory,1973-06-01,1980-06-19,1973-06-01,1980-06-19
CA 3537,"Universities Commission [I], Sydney Branch Office",Regional or State Office,New South Wales,,1959-12-31,1946-02-15,1959-12-31
CA 3538,"Universities Commission [I], Melbourne Branch Office",Regional or State Office,Victoria,1945-01-01,1959-12-31,1945-01-01,1959-12-31
CA 3557,National Inquiry into Teacher Education,Head Office,Australian Capital Territory,1978-01-17,1980-09-30,1978-01-17,1980-09-30
CA 4138,Australian Telecommunications and Electronics Research Board (ATERB),Head Office,New South Wales,1927-06-01,,1927-06-01,
CA 4349,National Institute of Dramatic Art,Head Office,New South Wales,1958-06-01,,1958-06-01,
CA 4559,"Australian Film, Television and Radio School, Victorian Branch",Regional or State Office,Victoria,1977-12-01,,1977-12-01,
CA 5373,"Australian Film, Television and Radio School",Regional or State Office,New South Wales,1976-10-29,,1976-10-29,
CA 5562,Woden College of Technical and Further Education,Local Office,Australian Capital Territory,1981-01-01,1988-01-03,1981-01-01,1988-01-03
CA 6032,Defence Force School of Music,Local Office,Victoria,1954-01-01,,1954-01-01,
CA 6961,[Australian Capital Territory] Canberra Institute of Technology (CIT),Head Office,Australian Capital Territory,1988-01-04,,1988-01-04,
CA 6991,"Australian National University, Institute of the Arts",Head Office,Australian Capital Territory,1988-02-08,,1988-02-08,
CA 7440,[Australian Capital Territory] University of Canberra - Central Administration Unit,Head Office,Australian Capital Territory,1990-01-01,,1990-01-01,
CA 7504,"Civil Aviation Authority Centre for Air Traffic Services, Launceston [Tasmania]",Head Office,Tasmania,,1995-07-06,1901-01-01,1995-07-06
CA 7673,Australian Council on Awards in Advanced Education,Intergovernmental agency,Victoria,1971-12-08,1985-01-25,1971-12-08,1985-01-25
CA 7681,Australian Council on Tertiary Awards,Intergovernmental agency,Australian Capital Territory,1985-01-25,1989-12-31,1985-01-25,1989-12-31
CA 7912,[Australian Capital Territory] University of Canberra - Student Administration Unit,Head Office,Australian Capital Territory,1990-01-01,,1990-01-01,
CA 9366,Australian Learning and Teaching Council,Head Office,New South Wales,2004-08,,2004-08,
CA 9382,"Department of Industry, Innovation, Science, Research and Tertiary Education, Central Office",Department of State,Australian Capital Territory,2011-12-14,2013-03-25,2011-12-14,2013-03-25
